,High,Low,Open,Close,Volume,Adj Close
0,142.86000061035156,140.57000732421878,142.25,141.3699951171875,94807600.0,106.9321060180664
1,142.0500030517578,140.61000061035156,141.22999572753906,141.6699981689453,69620600.0,107.15902709960938
2,141.39999389648438,140.3800048828125,141.3300018310547,140.53999328613278,76645300.0,106.30428314208984
3,141.41000366210938,140.25,140.82000732421875,141.19000244140625,71655000.0,106.7959976196289
4,141.60000610351562,140.39999389648438,141.30999755859375,141.07000732421875,75680100.0,106.70518493652344
5,141.57000732421875,140.30000305175778,140.58000183105472,141.5399932861328,72428000.0,107.06071472167969
6,142.6199951171875,141.5,141.5800018310547,142.16000366210938,54476800.0,107.52967834472656
7,143.24000549316406,142.11000061035156,142.14999389648438,143.24000549316406,55370600.0,108.34659576416016
8,143.44000244140625,142.72999572753906,143.07000732421875,142.9600067138672,44871300.0,108.1347885131836
9,143.4600067138672,142.72999572753906,142.85000610351562,143.02000427246094,50241400.0,108.18020629882812
10,143.25999450683594,142.30999755859375,143.1699981689453,142.5399932861328,68177300.0,107.81713104248048
11,143.10000610351562,142.4600067138672,142.5399932861328,142.82000732421875,56973000.0,108.0289077758789
12,143.10000610351562,141.92999267578125,143.07000732421875,142.3800048828125,60253600.0,107.69612121582031
13,143.0800018310547,142.05999755859375,142.25999450683594,142.8000030517578,54064400.0,108.0137939453125
14,143.97999572753906,142.91000366210938,142.97000122070312,143.9499969482422,55834700.0,108.88363647460938
15,143.9199981689453,142.00999450683594,143.86000061035156,142.25999450683594,73583800.0,107.60531616210938
16,142.64999389648438,141.5800018310547,142.57000732421875,142.1300048828125,67255600.0,107.50700378417969
17,142.8000030517578,141.74000549316406,142.19000244140625,142.0500030517578,66114600.0,107.44650268554688
18,142.86000061035156,142.05999755859375,142.35000610351562,142.7899932861328,70407600.0,108.00621795654295
19,144.1300048828125,142.39999389648438,142.6300048828125,143.75,91868600.0,108.7323760986328
20,144.66000366210938,143.91000366210938,144.14999389648438,144.61000061035156,69312400.0,109.38286590576172
21,144.9499969482422,144.3800048828125,144.72999572753906,144.80999755859375,49607000.0,109.5341339111328
22,144.94000244140625,144.33999633789062,144.6999969482422,144.85000610351562,45705300.0,109.56439208984376
23,145.02999877929688,144.3300018310547,144.97000122070312,144.88999938964844,57081300.0,109.59465789794922
24,145.36000061035156,144.57000732421875,145.1199951171875,145.2100067138672,55669700.0,109.8367156982422
25,145.1199951171875,144.27000427246094,144.77999877929688,145.02000427246094,70641000.0,109.6929931640625
26,145.3300018310547,143.38999938964844,145.05999755859375,143.94000244140625,79084400.0,108.87606811523438
27,144.0399932861328,143.19000244140625,143.94000244140625,143.4499969482422,65657000.0,108.50544738769531
28,144.89999389648438,143.75999450683594,143.77000427246094,144.66000366210938,64081800.0,109.42064666748048
29,145.89999389648438,144.77999877929688,144.8000030517578,145.61000061035156,66039400.0,110.13924407958984
30,145.9499969482422,145.42999267578125,145.6699981689453,145.8000030517578,38715200.0,110.28294372558594
31,145.75999450683594,145.22999572753906,145.44000244140625,145.72999572753906,39841800.0,110.2300262451172
32,146.1999969482422,145.0,145.55999755859375,146.0399932861328,56911800.0,110.4645004272461
33,146.07000732421875,145.35000610351562,145.61000061035156,145.97999572753906,63971600.0,110.41912841796876
34,146.4199981689453,145.1699981689453,146.0500030517578,145.8699951171875,79067400.0,110.33595275878906
35,145.7899932861328,145.02999877929688,145.74000549316406,145.3000030517578,71966200.0,109.90475463867188
36,145.9499969482422,144.75,145.8300018310547,145.1699981689453,69192800.0,109.80644989013672
37,144.1999969482422,139.0,143.8800048828125,139.5,274466500.0,105.51764678955078
38,141.97999572753906,139.80000305175778,140.38999938964844,140.92999267578125,177536300.0,106.59929656982422
39,141.25,138.05000305175778,139.33999633789062,140.50999450683594,212828600.0,106.28162384033205
40,140.66000366210938,138.66000366210938,140.05000305175778,138.66999816894528,162574000.0,104.88983154296876
41,139.58000183105472,137.33000183105472,137.92999267578122,137.35000610351562,143750400.0,103.89142608642578
42,140.1199951171875,137.72000122070312,138.77999877929688,139.69999694824222,143333300.0,105.66889190673828
43,140.46000671386722,139.39999389648438,139.58999633789062,139.55999755859378,115144900.0,105.56304168701172
44,141.16000366210938,140.07000732421878,140.53999328613278,140.74000549316406,117891600.0,106.45561981201172
45,141.4199981689453,140.08000183105472,141.30999755859375,140.77999877929688,107765100.0,106.48585510253906
46,141.33999633789062,140.16000366210938,140.41999816894528,140.99000549316406,80366900.0,106.6446533203125
47,140.77000427246094,138.03999328613278,140.17999267578122,138.25,190605200.0,104.5721664428711
48,139.36000061035156,136.75,138.42999267578122,139.27999877929688,231853800.0,105.3512725830078
49,139.99000549316406,138.80000305175778,138.97000122070312,139.47000122070312,132435900.0,105.4949188232422
50,139.6300048828125,138.1199951171875,139.30999755859378,138.52999877929688,121531600.0,105.1995849609375
51,140.33000183105472,139.14999389648438,139.25999450683594,140.19999694824222,96161200.0,106.46778106689452
52,141.0500030517578,139.96000671386722,140.08000183105472,140.97000122070312,82147400.0,107.0524673461914
53,143.64999389648438,140.82000732421875,141.10000610351562,143.2899932861328,152368700.0,108.81431579589844
54,143.67999267578125,142.7899932861328,143.47999572753906,143.17999267578125,118942200.0,108.73075103759766
55,143.80999755859375,143.14999389648438,143.27999877929688,143.38999938964844,74416800.0,108.8902359008789
56,143.64999389648438,142.08999633789062,143.5,143.1999969482422,113787500.0,108.74596405029295
57,143.16000366210938,142.38999938964844,143.1199951171875,142.86000061035156,99864600.0,108.48775482177734
